applicant_id,age,gender,married,dependents,education,self_employed,employment_status,years_employed,applicant_income,coapplicant_income,loan_amount,loan_term,credit_score,existing_loans,debt_to_income_ratio,previous_repayment_history,property_area,property_asset_value,bank_account_years,avg_bank_balance,loan_status
APP103336,43,Male,Yes,2,Graduate,No,Self-Employed,2.3,4500.0,0.0,10.0,240,689.0,1,0.101,0,Semiurban,88900.0,12.0,11740.0,Approved
APP102268,35,Female,Yes,0,Not Graduate,No,Salaried,11.8,6170.0,610.0,34.6,180,581.0,1,0.438,0,Rural,26300.0,5.0,7590.0,Rejected
APP103852,29,Female,Yes,0,Graduate,Yes,Self-Employed,5.7,6590.0,5340.0,37.3,240,674.0,0,0.301,1,Urban,14600.0,22.1,2260.0,Approved
APP100501,35,Female,Yes,0,Not Graduate,No,Salaried,4.0,2590.0,2890.0,16.1,180,633.0,1,0.055,1,Rural,46500.0,4.4,4700.0,Approved
APP103128,25,Female,Yes,0,Not Graduate,No,Salaried,1.8,1440.0,1340.0,11.0,12,555.0,0,0.179,1,Urban,53600.0,2.0,1240.0,Rejected
APP103352,39,Male,No,0,Graduate,No,Salaried,2.7,2300.0,1880.0,17.2,180,665.0,2,0.18,1,Semiurban,35900.0,4.5,8230.0,Rejected
APP104174,23,Female,Yes,0,Not Graduate,No,Salaried,7.8,2800.0,1210.0,18.1,36,698.0,0,0.273,1,Rural,27900.0,11.4,420.0,Approved
APP101634,32,Male,Yes,,Not Graduate,No,Business Owner,0.7,1610.0,520.0,10.0,180,479.0,2,0.285,1,Urban,82200.0,7.2,4930.0,Rejected
APP101480,26,Female,Yes,1,Graduate,No,Salaried,23.6,2410.0,0.0,10.0,180,649.0,0,0.26,1,Semiurban,25100.0,6.0,1890.0,Approved
APP102115,33,Female,Yes,0,Not Graduate,No,Salaried,2.4,2630.0,0.0,10.0,36,596.0,1,0.368,1,Urban,71800.0,7.1,3780.0,Rejected
APP103999,35,Female,Yes,0,Graduate,No,Salaried,7.3,5410.0,0.0,16.5,240,533.0,0,0.162,1,Rural,22000.0,3.4,7470.0,Rejected
APP100561,21,Female,Yes,2,Graduate,No,Self-Employed,4.3,10700.0,730.0,60.8,60,594.0,0,0.088,1,Urban,21800.0,1.6,2220.0,Approved
APP104198,21,Female,No,0,Graduate,No,Salaried,0.2,4780.0,1650.0,17.5,84,432.0,1,0.184,1,Semiurban,119400.0,9.9,18980.0,Rejected
APP103697,39,Female,Yes,1,Graduate,No,Salaried,3.1,3510.0,0.0,,36,574.0,1,0.283,1,Rural,30600.0,1.2,2590.0,Rejected
APP102907,43,Female,No,0,Graduate,No,Salaried,5.5,4000.0,1900.0,30.7,120,531.0,0,0.463,1,Urban,74300.0,4.6,2720.0,Rejected
APP100279,45,Female,No,2,Not Graduate,No,Salaried,2.5,1860.0,4150.0,20.1,360,647.0,1,0.111,1,Semiurban,20500.0,9.6,5410.0,Rejected
APP102266,21,Male,Yes,1,Not Graduate,No,Salaried,13.3,4020.0,6430.0,61.5,240,670.0,0,0.185,0,Urban,22100.0,3.1,20180.0,Approved
APP100157,47,Male,No,2,Not Graduate,No,Business Owner,3.0,3730.0,20340.0,133.9,360,504.0,2,0.415,0,Urban,33900.0,5.5,1330.0,Rejected
APP100538,34,Male,Yes,0,Graduate,No,Self-Employed,2.7,3120.0,970.0,13.1,120,,0,0.203,1,Semiurban,56600.0,0.4,3480.0,Approved
APP104114,26,Male,Yes,0,Not Graduate,No,Salaried,4.8,7930.0,0.0,32.2,36,341.0,1,0.093,1,Rural,56400.0,5.9,2350.0,Rejected
APP104457,23,Female,Yes,1,Graduate,Yes,Business Owner,0.2,11080.0,1950.0,33.7,240,698.0,0,0.037,1,Rural,17000.0,14.9,47030.0,Approved
APP101650,45,Male,Yes,2,Graduate,No,Salaried,1.7,6160.0,0.0,15.0,180,643.0,1,0.089,1,Urban,20800.0,3.7,6370.0,Rejected
APP103150,50,Female,No,0,Graduate,No,Salaried,3.1,2550.0,0.0,13.3,60,561.0,0,0.336,1,Semiurban,18600.0,6.9,6360.0,Rejected
APP100764,34,Male,Yes,0,Not Graduate,No,Unemployed,0.0,1200.0,0.0,10.0,180,709.0,0,0.193,1,Rural,32000.0,4.0,2040.0,Rejected
APP101864,35,Female,Yes,1,Not Graduate,No,Salaried,5.1,4680.0,0.0,25.8,84,638.0,1,0.329,1,Semiurban,61600.0,0.7,2770.0,Approved
APP103485,48,Male,No,0,Not Graduate,No,Unemployed,0.0,1620.0,930.0,10.0,360,677.0,2,0.258,0,Urban,32000.0,20.2,9750.0,Rejected
APP100731,45,Male,Yes,0,Graduate,No,Salaried,0.3,3140.0,5830.0,33.8,36,510.0,0,0.213,1,Rural,55500.0,1.2,11960.0,Rejected
APP100084,39,Male,No,3+,Graduate,No,Salaried,7.9,4440.0,1470.0,19.2,120,675.0,1,0.436,1,Semiurban,18900.0,8.0,16230.0,Rejected
APP102580,39,Male,Yes,0,Graduate,No,Salaried,23.6,4760.0,3350.0,16.9,36,619.0,2,0.494,1,Rural,18900.0,1.7,18780.0,Rejected
APP103207,62,Female,No,2,Graduate,No,Business Owner,7.0,10500.0,0.0,48.9,120,,0,0.461,1,Rural,115400.0,18.7,6340.0,Approved
APP102974,55,Female,Yes,3+,Graduate,No,Salaried,5.3,4880.0,800.0,23.7,120,587.0,1,0.326,1,Semiurban,35400.0,2.9,22080.0,Rejected
APP102696,45,Male,No,0,Not Graduate,No,Salaried,6.1,5420.0,920.0,31.0,120,799.0,0,0.326,1,Urban,92700.0,18.9,9130.0,Approved
APP101338,47,Male,Yes,2,Not Graduate,Yes,Business Owner,2.2,3090.0,0.0,12.4,36,675.0,1,0.336,1,Semiurban,19600.0,0.8,2880.0,Approved
APP103902,47,Male,Yes,0,Not Graduate,No,Salaried,17.0,4380.0,3490.0,23.0,36,708.0,1,0.302,0,Semiurban,63600.0,9.3,3690.0,Approved
APP100911,46,Female,Yes,1,Not Graduate,Yes,Salaried,1.5,6570.0,0.0,19.5,84,495.0,0,0.369,1,Semiurban,24600.0,4.8,1400.0,Rejected
APP100029,23,Male,No,0,Not Graduate,Yes,Salaried,5.3,3010.0,4260.0,11.1,84,668.0,0,0.495,0,Urban,59000.0,0.9,4300.0,Approved
APP100677,37,Male,No,1,Graduate,No,Salaried,1.0,3790.0,1820.0,10.0,12,646.0,0,0.402,1,Semiurban,27700.0,5.0,5660.0,Rejected
APP104501,41,Male,No,0,Graduate,No,Salaried,10.1,12110.0,1300.0,61.5,120,649.0,0,0.058,1,Semiurban,155100.0,1.3,3760.0,Approved
APP103685,55,Male,Yes,0,Graduate,Yes,Salaried,1.0,4250.0,0.0,,120,752.0,1,0.403,1,Urban,,1.3,9380.0,Rejected
APP103741,26,Male,Yes,2,Graduate,No,Unemployed,0.0,2950.0,0.0,10.0,36,788.0,1,0.275,1,Urban,46500.0,13.0,3800.0,Approved
APP101620,21,Female,No,2,Graduate,No,Salaried,3.5,3470.0,0.0,14.8,12,604.0,1,0.125,1,Semiurban,109100.0,14.5,1230.0,Approved
APP100422,47,Male,Yes,2,Graduate,No,Salaried,1.1,1960.0,0.0,10.0,360,743.0,1,0.228,1,Semiurban,14000.0,0.7,11670.0,Approved
APP101665,53,Male,No,,Not Graduate,No,Unemployed,0.0,3290.0,1980.0,17.6,12,850.0,1,0.315,1,Semiurban,19500.0,0.2,2830.0,Rejected
APP104989,46,Male,No,0,Graduate,No,Business Owner,1.5,12270.0,0.0,71.6,60,694.0,1,0.53,1,Rural,48200.0,3.2,3610.0,Rejected
APP102727,32,Female,No,3+,Graduate,No,Self-Employed,7.5,10210.0,2360.0,36.6,84,575.0,0,0.348,0,Semiurban,,13.8,2030.0,Rejected
APP103193,55,Male,Yes,0,Not Graduate,No,Self-Employed,0.7,4770.0,5500.0,57.1,120,586.0,1,0.292,1,Urban,61000.0,2.2,59670.0,Rejected
APP103968,26,Male,Yes,1,Graduate,No,Self-Employed,7.0,2670.0,660.0,17.0,36,514.0,0,0.138,1,Rural,24300.0,0.1,18200.0,Rejected
APP100168,37,Male,No,1,Graduate,Yes,Salaried,3.2,2980.0,0.0,10.0,12,613.0,1,0.24,1,Urban,65700.0,27.2,34090.0,Approved
APP103834,27,Male,No,0,Graduate,No,Business Owner,2.5,3380.0,0.0,20.3,240,,0,0.299,0,Rural,26300.0,16.6,2100.0,Approved
APP103481,30,Male,Yes,2,Not Graduate,Yes,Business Owner,5.6,2740.0,0.0,10.0,36,557.0,0,0.302,1,Rural,16600.0,1.6,2820.0,Rejected
APP103469,42,Male,Yes,1,Not Graduate,No,Self-Employed,1.4,4420.0,0.0,11.4,12,603.0,2,0.203,1,Urban,66600.0,4.1,2750.0,Rejected
APP100227,21,Female,Yes,2,Graduate,Yes,Salaried,1.1,7200.0,1600.0,40.1,60,641.0,0,0.043,1,Semiurban,94100.0,8.0,10960.0,Approved
APP102654,24,Male,Yes,2,Graduate,No,Business Owner,0.7,3720.0,0.0,10.0,120,604.0,3,0.259,0,Semiurban,62700.0,7.6,6530.0,Rejected
APP100486,34,Male,Yes,3+,Graduate,No,Business Owner,0.2,4380.0,0.0,17.0,240,608.0,1,0.117,1,Semiurban,65000.0,0.0,2940.0,Rejected
APP101694,36,Female,Yes,0,Not Graduate,No,Unemployed,0.0,1610.0,1200.0,10.0,12,731.0,0,0.446,1,Semiurban,66400.0,24.8,9530.0,Rejected
APP101200,44,Male,No,0,Graduate,No,Self-Employed,3.9,5290.0,0.0,18.5,12,668.0,0,0.144,1,Rural,44800.0,5.0,7270.0,Rejected
APP102685,47,Male,Yes,2,Not Graduate,No,Salaried,1.2,3400.0,0.0,,120,657.0,1,0.517,0,Rural,128800.0,6.4,4100.0,Rejected
APP103172,33,Female,No,2,Not Graduate,No,Salaried,4.6,5190.0,0.0,26.7,36,629.0,0,0.239,1,Semiurban,56000.0,1.4,3440.0,Rejected
APP100023,31,Female,No,0,Not Graduate,,Salaried,2.1,1260.0,3490.0,10.0,12,678.0,2,0.186,0,Urban,45000.0,0.1,1740.0,Rejected
APP103084,27,Female,Yes,0,Not Graduate,Yes,Salaried,1.7,6160.0,1310.0,20.6,36,575.0,3,0.202,1,Rural,74700.0,4.5,1780.0,Approved
APP103130,23,Male,No,2,Graduate,No,Salaried,12.4,9170.0,0.0,29.8,120,728.0,0,0.098,1,Semiurban,26300.0,31.4,3410.0,Approved
APP102536,55,Female,Yes,1,Not Graduate,No,Salaried,5.4,1990.0,960.0,15.5,180,667.0,1,0.367,0,Urban,60100.0,0.9,9270.0,Rejected
APP102897,54,Male,Yes,0,Graduate,Yes,Salaried,0.8,3840.0,5370.0,27.3,240,593.0,0,0.167,1,Urban,54300.0,24.0,5580.0,Approved
APP104840,56,Male,Yes,0,Not Graduate,No,Business Owner,12.7,4910.0,2350.0,14.8,180,723.0,0,0.123,1,Urban,50400.0,1.8,5030.0,Approved
APP102093,35,Male,Yes,0,Graduate,No,Self-Employed,0.6,3320.0,0.0,10.0,60,553.0,0,0.361,1,Urban,190600.0,2.7,2770.0,Approved
APP100239,38,Male,Yes,0,Graduate,No,Unemployed,0.0,5310.0,4810.0,23.7,84,672.0,1,0.091,1,Rural,88900.0,14.9,5500.0,Rejected
APP103571,46,Female,Yes,2,Graduate,No,Self-Employed,7.1,5840.0,1260.0,29.5,12,638.0,4,0.32,1,Urban,19900.0,5.9,9500.0,Rejected
APP103765,33,Male,Yes,2,Not Graduate,,Salaried,0.4,2850.0,0.0,13.1,240,471.0,0,0.045,1,Urban,105600.0,3.2,1280.0,Approved
APP102016,31,Female,No,0,Graduate,No,Unemployed,0.0,3930.0,0.0,22.7,180,,4,0.124,1,Rural,17100.0,3.2,5800.0,Rejected
APP104038,29,Male,No,2,Graduate,No,Business Owner,4.9,4210.0,2150.0,35.2,36,725.0,0,0.564,1,Urban,29800.0,12.4,2210.0,Rejected
APP100297,33,Male,Yes,3+,Not Graduate,No,Salaried,4.4,4220.0,0.0,16.6,360,812.0,0,0.072,1,Urban,18900.0,14.2,5390.0,Approved
APP100248,23,Male,Yes,0,Graduate,,Unemployed,0.0,7040.0,0.0,14.3,36,713.0,1,0.239,1,Urban,61600.0,8.9,1560.0,Rejected
APP102135,22,Female,Yes,0,Graduate,No,Business Owner,3.3,2800.0,3130.0,24.8,36,717.0,0,0.313,1,Rural,8600.0,0.9,6040.0,Rejected
APP100373,39,Male,Yes,0,Graduate,No,Self-Employed,0.1,12540.0,1600.0,54.7,60,676.0,0,0.181,1,Urban,75400.0,20.3,1240.0,Approved
APP100881,58,Male,No,0,Graduate,No,Business Owner,7.6,5850.0,0.0,19.1,180,668.0,3,0.285,1,Semiurban,29300.0,10.2,1690.0,Rejected
APP102307,60,Female,No,3+,Graduate,No,Salaried,9.1,7070.0,0.0,23.1,12,646.0,0,0.278,1,Urban,63600.0,1.5,3610.0,Approved
APP103887,35,Male,No,0,Not Graduate,No,Salaried,4.7,1580.0,1140.0,14.8,84,495.0,1,0.351,1,Urban,43700.0,13.6,3540.0,Rejected
APP104503,51,Female,No,3+,Graduate,No,Salaried,7.6,5990.0,2280.0,28.6,120,621.0,2,0.243,1,Semiurban,53200.0,3.4,6380.0,Rejected
APP102991,56,Male,Yes,0,Not Graduate,No,Unemployed,0.0,4340.0,0.0,16.9,360,552.0,0,0.429,1,Rural,27700.0,4.6,11090.0,Rejected
APP100724,47,Female,No,0,Graduate,No,Self-Employed,4.7,4890.0,0.0,18.2,12,658.0,1,0.241,1,Rural,71700.0,1.4,2280.0,Approved
APP102220,31,Female,No,0,Graduate,No,Self-Employed,3.7,5050.0,3980.0,,360,665.0,1,0.42,1,Urban,28200.0,11.5,3510.0,Rejected
APP102217,29,Female,Yes,0,Not Graduate,No,Salaried,5.4,9430.0,0.0,51.1,36,669.0,0,0.321,1,Semiurban,28600.0,0.6,26850.0,Rejected
APP101468,35,Male,No,2,Not Graduate,No,Salaried,5.3,2500.0,2520.0,19.8,180,811.0,0,0.442,1,Urban,15100.0,4.9,2210.0,Approved
APP101592,46,Male,No,0,Not Graduate,No,Self-Employed,0.0,1200.0,2350.0,10.0,180,411.0,1,0.151,1,Rural,11800.0,0.7,1510.0,Rejected
APP103951,51,Male,No,,Not Graduate,No,Salaried,3.5,6860.0,0.0,35.0,360,648.0,0,0.072,1,Semiurban,,11.5,5630.0,Approved
APP102445,22,Male,Yes,0,Graduate,No,Business Owner,1.0,3930.0,1490.0,10.0,240,636.0,2,0.332,1,Rural,34200.0,0.6,1270.0,Rejected
APP103091,54,Female,No,0,Not Graduate,Yes,Salaried,2.0,3100.0,0.0,10.9,84,765.0,0,0.322,1,Semiurban,53300.0,0.3,3740.0,Approved
APP100927,41,Female,No,1,Not Graduate,No,Salaried,4.8,5540.0,0.0,25.0,120,667.0,0,0.153,1,Urban,40200.0,4.8,3680.0,Approved
APP104579,35,Male,Yes,2,Graduate,Yes,Salaried,0.3,2110.0,1200.0,10.0,180,640.0,0,0.075,1,Semiurban,27000.0,13.3,4670.0,Approved
APP104652,21,Male,Yes,0,Graduate,Yes,Salaried,7.2,3980.0,0.0,11.8,180,507.0,0,0.436,1,Rural,73800.0,4.3,7440.0,Rejected
APP100599,41,Female,No,0,Not Graduate,No,Unemployed,0.0,4990.0,0.0,17.5,84,525.0,0,0.309,1,Rural,38900.0,0.4,1620.0,Rejected
APP101392,38,Male,No,,Graduate,No,Business Owner,4.7,3430.0,2310.0,11.6,60,688.0,0,0.246,1,Rural,59700.0,2.8,10120.0,Approved
APP102227,43,Male,Yes,1,Graduate,No,Salaried,2.0,2430.0,1680.0,14.5,12,,1,0.347,0,Urban,75100.0,0.7,11320.0,Rejected
APP104176,44,Female,Yes,0,Graduate,No,Salaried,1.9,7770.0,1670.0,41.9,120,641.0,1,0.686,1,Urban,17600.0,1.0,810.0,Rejected
APP101609,21,Female,Yes,,Graduate,Yes,Salaried,3.1,4160.0,2260.0,19.5,120,707.0,3,0.239,0,Urban,125300.0,1.1,1950.0,Approved
APP104290,42,Male,No,0,Graduate,No,Salaried,3.7,4150.0,2630.0,25.7,360,,0,0.379,1,Semiurban,14900.0,13.0,2640.0,Rejected
APP102876,37,Male,No,0,Graduate,No,Salaried,0.3,4690.0,1290.0,24.3,240,735.0,2,0.568,1,Urban,102300.0,4.2,8690.0,Approved
APP103288,31,Male,Yes,0,Graduate,No,Salaried,1.6,5320.0,3120.0,29.0,12,553.0,1,0.115,1,Semiurban,11500.0,0.1,1100.0,Rejected
APP102142,34,Male,No,,Not Graduate,No,Salaried,8.0,10900.0,1520.0,43.6,360,617.0,2,0.115,1,Rural,28900.0,5.0,1560.0,Rejected
APP100471,36,Male,Yes,3+,Graduate,Yes,Business Owner,3.3,3440.0,1280.0,14.4,36,651.0,2,0.117,1,Semiurban,72900.0,35.2,9440.0,Approved
APP101244,51,Male,No,0,Graduate,Yes,Business Owner,1.2,2500.0,3040.0,14.4,84,846.0,1,0.256,1,Semiurban,41800.0,1.7,8840.0,Approved
APP103690,35,Male,Yes,0,Graduate,,Self-Employed,5.9,6220.0,2500.0,15.5,360,592.0,2,0.196,0,Semiurban,49000.0,3.1,10020.0,Rejected
APP104221,48,Male,Yes,1,Graduate,No,Self-Employed,11.7,2080.0,1750.0,10.0,180,757.0,0,0.198,1,Rural,94300.0,7.1,6170.0,Approved
